ObservationDate,Agency,Maturity,Coupon,OrigYear,ActualSpread,NewPayUp,predicted_NewPayUp,residual,NewPayUp_missing,is_missing_predicted,is_anomaly,anomaly_residuals,anomaly_threshold,Dealer1SourceSpread,Dealer2AnalyticsSpread,EpsilonBenchSpread,AllDealerAverage,AllDealerAverageDispersion,Dealer1Dealer2Average,Dealer1Dealer2AverageDispersion,AllDealerAverageThresh,Dealer1Dealer2Thresh,UPB,UPBThreshold,TicksThreshold,OrigYearThreshold,UseAllDealerAverage,UseDealer1Dealer2Average,UseDealer2AnalyticsSpread,UseDealer1SourceSpread,Coupon_is_negative,OrigYear_is_negative,AllDealerAverage_is_negative,AllDealerAverageDispersion_is_negative,Dealer1Dealer2Average_is_negative,Dealer1Dealer2AverageDispersion_is_negative,AllDealerAverageThresh_is_negative,Dealer1Dealer2Thresh_is_negative,UPB_is_negative,UPBThreshold_is_negative,TicksThreshold_is_negative,OrigYearThreshold_is_negative,UseAllDealerAverage_is_negative,UseDealer1Dealer2Average_is_negative,UseDealer2AnalyticsSpread_is_negative,UseDealer1SourceSpread_is_negative
06/23/2025,FN,30Y,0.065,2019,0.0,6.3739,6.3772,-0.0033,0,0,0,0.5718,0.6037,0.5245,6.3739,2.589,3.1624666666666665,5.8494,3.4492,5.8494,,0.25,577728187.64,5000000.0,3.5,2021,,,6.3739,0.5245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/23/2025,FN,30Y,0.07,2011,0.3355,6.2142,6.2054,0.0088,0,0,0,0.4684,0.6037,6.2142,-0.586,-1.6359,,,,6.8002,,,586467376.71,5000000.0,3.5,2021,,,,6.2142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/23/2025,FN,15Y,0.02,2011,0.0104,5.8263,5.8417,-0.0154,0,0,0,0.4602,0.6037,5.8263,-3.9382,0.0,,,,9.7645,,,570270996.74,5000000.0,3.5,2021,,,,5.8263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/23/2025,FN,30Y,0.05,2007,0.0,5.1278,5.112,0.0158,0,0,0,0.4667,0.6037,5.1278,-3.7203,5.8949,,,,8.848099999999999,,,607523648.96,5000000.0,3.5,2021,,,,5.1278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/23/2025,FN,30Y,0.02,2019,0.0,4.7643,4.7705,-0.0062,0,0,0,0.4422,0.6037,4.7643,-2.4542,4.537,,,,7.218500000000001,,0.25,625601230.58,5000000.0,3.5,2021,,,,4.7643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/23/2025,FN,30Y,0.025,2008,0.5757,6.3716,6.3816,-0.01,0,0,0,0.5049,0.6037,0.0,6.3716,-4.38,,,3.1858,6.3716,,,498874902.23,5000000.0,3.5,2021,,,6.3716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/23/2025,FN,30Y,0.03,2013,0.0,4.6305,4.5978,0.0327,0,0,0,0.5109,0.6037,0.0,4.6305,0.5071,1.7125333333333332,4.6305,2.31525,4.6305,,0.25,534095065.34,5000000.0,3.5,2021,,,4.6305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/23/2025,FN,15Y,0.015,2023,0.0,5.0242,5.0356,-0.0114,0,0,0,0.454,0.6037,,5.0242,1.6466,,,,,,,488067041.1,5000000.0,3.5,2021,,,5.0242,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/23/2025,FN,15Y,0.07,2007,0.9975,4.8119,4.7983,0.0136,0,0,0,0.4239,0.6037,-0.7423,4.8119,,,,,5.5542,,,582459698.24,5000000.0,3.5,2021,,,4.8119,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/23/2025,FN,30Y,0.055,2005,1.8183,5.5576,5.5174,0.0402,0,0,0,0.4453,0.6037,5.5576,-0.2953,5.4561,,,,5.8529,,,591724787.21,5000000.0,3.5,2021,,,,5.5576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/23/2025,FN,30Y,0.065,2016,0.0,4.574,4.5609,0.0131,0,0,0,0.4944,0.6037,-5.9757,4.574,4.6698,,,,10.5497,,0.25,478127808.32,5000000.0,3.5,2021,,,4.574,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/23/2025,FN,15Y,0.065,2007,2.3255,6.434,6.4269,0.0071,0,0,0,0.4441,0.6037,,6.434,0.0,,,,,,,524836755.56,5000000.0,3.5,2021,,,6.434,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/23/2025,FN,30Y,0.04,2011,0.0,5.6341,5.6541,-0.02,0,0,0,0.4382,0.6037,5.6341,-2.1102,-4.285,,,,7.7443,,,363974637.34,5000000.0,3.5,2021,,,,5.6341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/23/2025,FN,15Y,0.02,2015,0.0,5.2815,5.2668,0.0147,0,0,0,0.4766,0.6037,-5.4693,5.2815,0.7477,,,,10.7508,,0.25,361922327.47,5000000.0,3.5,2021,,,5.2815,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/23/2025,FN,30Y,0.07,2004,1.2165,5.9472,5.9383,0.0089,0,0,0,0.5579,0.6037,0.2556,5.9472,2.1737,2.7921666666666667,5.691599999999999,3.1014,5.691599999999999,,,401013290.19,5000000.0,3.5,2021,,,5.9472,0.2556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/23/2025,FN,15Y,0.02,2016,0.4585,3.5175,3.4964,0.0211,0,0,0,0.4299,0.6037,3.5175,-5.3919,-0.9379,,,,8.9094,,0.25,593606654.14,5000000.0,3.5,2021,,,,3.5175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/23/2025,FN,30Y,0.07,2021,0.1914,2.9312,2.8708,0.0604,0,0,0,0.5731,0.6037,3.015,2.8474,3.3369,3.066433333333334,0.4895,2.9312,0.1676000000000002,0.25,0.25,662437006.63,5000000.0,3.5,2021,,2.9312,2.8474,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/23/2025,FN,30Y,0.035,2020,1.3703,4.7357,4.7778,-0.0421,0,0,0,0.4122,0.6037,4.7357,-0.3254,-2.9667,,,,5.0611,0.25,0.25,526540598.76,5000000.0,3.5,2021,,,,4.7357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/23/2025,FN,15Y,0.05,2023,2.7304,5.7708,5.7615,0.0093,0,0,0,0.4473,0.6037,5.7708,-2.2079,-2.1695,,,,7.9787,,,582090453.74,5000000.0,3.5,2021,,,,5.7708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/23/2025,FN,15Y,0.025,2015,3.1679,6.0637,6.0902,-0.0265,0,0,0,0.4912,0.6037,6.0637,-3.8205,6.1458,,,,9.8842,,0.25,608500820.28,5000000.0,3.5,2021,,,,6.0637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
